ACIDO FOLICO 800 MCG CENTURY X 90 TABLETAS;0.6;;
ACIDO IBANDRONICO 150 MG X 2 COMPRIMIDOS;58.5;;
ACIFOL ACIDO FOLICO 10 MG X 30 COMPRIMIDOS;4.3;;
ACIFOL ACIDO FOLICO 5 MG X 30 COMPRIMIDOS;3.0;;
ACLERIA HIDRATANTE FACIAL GEL X 50 G;480.0;;
ACLERIA MASCARILLA FACIAL X 150 G;360.0;;
ACNOTIN 10 MG ISOTRETINOINA X 30 CµPSULAS BLANDAS;11.0;;
ACNOTIN 20 MG ISOTRETINOINA X 30 CµPSULAS BLANDAS;19.0;;
ACONDICIONADOR AVENA CARLA LORENA X 350 ML;27.5;;
ACONDICIONADOR FRUTILLA CARLA LORENA X 350 ML;27.5;;
ACONDICIONADOR FRUTILLA CARLA LORENA X 700 ML;39.5;;
ACONDICIONADOR HUEVO CARLA LORENA X 350 ML;27.5;;
ACONDICIONADOR HUEVO CARLA LORENA X 700 ML;39.5;;
ACOTOL DIENOGEST 2 MG/ETINILESTRADIOL 0.03 MG X 28 COMPRIMIDOS;242.0;;
ACRYLARM 0.2% GEL OFTALMICO X 1 UNIDAD;264.0;;
ACTERIL SALBUTAMOL 2 MG JARABE X 120 ML;47.0;;
ACTERIL SOLUCION P/NEBULIZAR 15ML SALBUTAMOL X 1 UNIDAD;75.5;;
ACTIFEM COMPRESA CALIENTE CARB‡N CELULOSA SAL HIERRO X 1 UNIDAD;38.5;;
ACTIFEM PARACETAMOL 325 MG IBUPROFENO 200 CAFEINA 30 MG X 100 CµPSULAS;4.0;;
ACTIFORTE B SULFATO DE ZINC 20 MG JARABE X 120 ML;16.5;;
ACTIGIN FER X 30 CAPSULAS;6.0;;
ACTIMILK LECHE DE MAGNESIA HIDR‡XIDO DE MAGNESIO 400 MG SUSPENSI‡N X 120 ML;13.5;;
ACTIMOL PARACETAMOL 120 MG/5 ML JARABE X 60 ML;10.0;;
ACTIVE UNIFYFLUID COLOR 50 ML X 1 UNIDAD;;;
ACTRON 4 % IBUPROFENO 200 MG X 100 ML;60.0;;
ACTRON IBUPROFENO 400 MG X 10 CµPSULAS;2.7;;
ACTRON IBUPROFENO 600 MG X 10 CµPSULAS;4.8;;
ACUTRAM CABERGOLINA 0.5 MG X 4 COMPRIMIDOS;112.0;;
ACYCLO ACICLOVIR 200 MG X 100 COMPRIMIDOS;;;
ACYCLO ACICLOVIR 400 MG X 100 COMPRIMIDOS;2.5;;
ACYCLO ACICLOVIR 800 MG X 100 COMPRIMIDOS;6.0;;
ACYDONE GEL HIDR‡XIDO DE ALUMINIO 200 MG/HIDROXIDO DE MAGNESIO 200 MG/ SIMETICONA 25 MG MENTA SUSPENSI‡N X 210 ML;89.0;;
ACYDONE GEL HIDR‡XIDO DE ALUMINIO 200 MG/HIDR‡XIDO DE MAGNESIO 200 MG/ SIMETICONA 25 MG CHERRY SUSPENSI‡N X 210 ML;89.0;;
ADAPCLIN ADAPALENO 0.1%  CLINDAMICINA 1% GEL 30G;282.0;;
ADAPT PASTA HIDROCOLOIDE PARA OSTOMIA HOLLISTER X 60 G REF: 79300;191.0;;
ADECUAN METOCLOPRAMIDA 0.35 G GOTAS X 15 ML;102.0;;
ADECUAN METOCLOPRAMIDA 10 MG X 20 C0MPRIMIDOS;5.5;;
ADECUAN METOCLOPRAMIDA 10 MG/2ML SOLUCI‡N INYECTABLE X 5 AMPOLLAS;26.0;;
"ADERMICINA BEBê CREMA X 1 UNIDAD 40G; 2G/100G";42.0;;
ADHESIVE PLASTER SKIN COLOR ZINC OXIDE 2.5 CM X 1 M;3.5;;
ADHESIVE PLASTER SKIN COLOR ZINC OXIDE 1.25CM X 1 M;3.0;;
ADHESIVE PLASTER ZINC OXIDE 10 CM X 5 M;35.0;;
ADOLECIN PRO GEL X 1 UNIDAD;297.0;;
ADRENALINA 1 MG SOLUCI‡N INYECTABLE X 25 AMPOLLAS;16.0;;
ADROXEF CEFADROXILO 500 MG SUSPENSI‡N X 100 ML;;;
ADROXEF CEFADROXILO 500 MG CHILE X 14 CµPSULAS;9.8;;
AERO OM SIMETICONA 80 MG GOTAS X 15 ML;70.5;;
AEROCAMARA ADULTO AERO 100 X 1 UNIDAD;;;
AEROCAMARA AERO 100 NEONATAL X 1 UNIDAD;;;
AEROCAMARA PEDIATRICA UNIVENT X 1 UNIDAD;;;
AEROFACIDOSE AEROCAMARA ADULTO LCH X 1 UNIDAD;185.0;;
AEROFACIDOSE AEROCAMARA LACTANTE LCH X 1 UNIDAD;185.0;;
AEROLIZER DISPOSITIVO X 1 UNIDAD;62.0;;
AERONID 125 X 120 DOSIS (AEROSOL) X 1 UNIDAD 25MCG-50MCG/DOSIS;;;
AERONID 250 AEROSOL X 120 DOSIS X 1 UNIDAD;;;
AERONID 50 (SUSPENSION AEROSOL) X 1 UNIDAD 7.25 ML/120 DOSIS;;;
AEROSAL ADULTO ( AEROCAMARA) X 1 UNIDAD;108.0;;
AEROSAL INFANTIL ( AEROCAMARA) X 1 UNIDAD;191.0;;
AFOREX ALBENDAZOL 400MG/10ML X 3 FRASCOS BEBIBLES;20.0;;
AFTER SHAVE GEL 3 EFECTOS X 1 PZA;;;
"AFTISAN PLUS (GEL) X 1 UNIDAD 75MG;1MG;20MG/100G";58.5;;
AFUNGIL FD SECNIDAZOL 166.66 MG/ITRACONAZOL 33.33 MG X 6 COMPRIMIDOS;126.0;;
AFUNGIL SECNIDAZOL 166.66 MG/ITRACONAZOL 33.33 MG X 12 CµPSULAS;12.5;;
AGARRADORES CELESTE Y BLANCO COD.0008 X 1 UNIDAD;7.0;;
AGE REPAIR COLOR ISDIN SPF 50 X 50 ML X 1 UNIDAD;;;
AGE REPAIR FUSION WATER SPF50-50ML ISDIN;;;
AGGLAD OFTENO 2MG/ML (SOLUCION OFTALMICA) X 1 SOLUCION 2MG/ML;;;
AGIOLAX (GRANULADO) X 12;;;
AGNUS ISOTRETINOINA 20 MG X 30 CµPSULAS;11.0;;
AGNUS CLINDAMICINA CLORHIDRATO 1%/ADAPALENO 0.1% GEL X 15 G;349.5;;
AGNUS ISOTRETINOINA 10 MG X 30 CµPSULAS;6.0;;
AGUA CON LIDOCAINA 1% UVERSAL PHARMA X 100 AMPOLLLAS;2.0;;
AGUA DE ROSAS TELCHI LITEL X 100ML;27.5;;
AGUA DE ROSAS TELCHI LITEL X 200 ML;73.5;;
AGUA DES X 100 SOLUCION 5 ML;;;
AGUA DESTILADA 10 ML X 100 AMPOLLAS;2.0;;
AGUA DESTILADA 10 ML X 5 AMPOLLAS;3.0;;
AGUA ESTERIL 5 ml X 1 UNIDAD;0.0;;
AGUA FLORIDA 25 ML X FRASCO;8.5;;
AGUA MICELAR BIFASICA 400ML X 1 FRASCO;;;
AGUA MICELAR ROSA MOSQUETA X 1 PZA;;;
AGUA OXIGENADA 10 VOL. IFARBO X 1 LITRO;18.0;;
AGUA OXIGENADA 10 VOL. IFARBO X 125 ML;8.0;;
AGUA OXIGENADA 10 VOL. IFARBO X 500 ML;23.5;;
AGUA OXIGENADA 10 VOL. IFARBO X 60 ML;5.0;;
AGUA OXIGENADA 10 VOL. REX X 1 LITRO;17.5;;
AGUA OXIGENADA 10 VOL. REX X 125 ML;6.0;;
AGUA OXIGENADA 10 VOL. REX X 500 ML;13.0;;
;;;
